2 0,09688628 0,09287659 3,47679 497,880432128906 256,160888671875 2 0,1123692 0,383068 3,443588 500,257019042969 211,332550048828 2 0,1266245 0,6663716 3,399048 502,580322265625 166,298370361328 2 0,1092811 0,7876209 3,395887 499,793975830078 147,232971191406 2 -0,03868831 0,5479966 3,427046 476,855804443359 185,622924804688 2 -0,08729638 0,3032921 3,479291 469,616668701172 224,254150390625 2 -0,1058605 0,1003648 3,432727 466,836822509766 254,985382080078 2 -0,09192649 0,04000907 3,413101 469,003326416016 264,258544921875 2 0,2478406 0,5433243 3,352019 522,255859375 184,234603881836 2 0,3008232 0,2991417 3,383464 530,316955566406 223,281295776367 2 0,2871636 0,09760761 3,327421 529,228576660156 254,60530090332 2 0,2720202 0,03948842 3,31747 527,015808105469 263,855010986328 2 0,03264727 0,09361023 3,455278 488,160797119141 256,011688232422 2 0,0476652 -0,2082609 3,507694 490,462738037109 301,820709228516 2 0,05052344 -0,5296589 3,559112 490,895233154297 349,235809326172 2 0,02576585 -0,5764537 3,438116 487,665283203125 359,253784179688 2 0,159012 0,09030069 3,428262 507,816131591797 256,306365966797 2 0,1905224 -0,2051917 3,462314 512,543701171875 301,643432617188 2 0,205458 -0,5069294 3,512662 514,480712890625 346,716644287109 2 0,1792079 -0,5538806 3,391698 511,815612792969 356,805358886719 2 0,1231892 0,5965658 3,412331 501,996490478516 177,574432373047 2 -0,09677102 -0,01502588 3,417785 468,302886962891 272,805206298828 2 -0,06538253 0,04573332 3,423625 473,130706787109 263,369781494141 2 0,2679371 -0,01681739 3,313249 526,472534179688 272,855255126953 2 0,2432427 0,03457475 3,312545 522,489440917969 264,656372070313 
2 0,09637678 0,09268418 3,475993 497,807983398438 256,187347412109 2 0,1121762 0,3828658 3,443248 500,229888916016 211,357971191406 2 0,1266297 0,6662055 3,398947 502,58203125 166,321273803711 2 0,1085762 0,7874242 3,395761 499,684906005859 147,259796142578 2 -0,04013631 0,5482753 3,427459 476,631225585938 185,591079711914 2 -0,08743317 0,3012945 3,478482 469,596221923828 224,548065185547 2 -0,1054409 0,0984125 3,431315 466,899871826172 255,2802734375 2 -0,09048773 0,04101323 3,415953 469,231109619141 264,106689453125 2 0,2474321 0,5432076 3,351453 522,199279785156 184,238861083984 2 0,2999286 0,3012654 3,38304 530,181945800781 222,943313598633 2 0,288102 0,09912337 3,329161 529,348571777344 254,371490478516 2 0,271282 0,04041454 3,31666 526,909606933594 263,7060546875 2 0,03211574 0,09344908 3,454307 488,0830078125 256,032775878906 2 0,04811383 -0,2056879 3,50524 490,539520263672 301,453338623047 2 0,05071978 -0,5286327 3,558511 490,926452636719 349,096038818359 2 0,02573593 -0,5753951 3,437536 487,662048339844 359,105438232422 2 0,158569 0,0900887 3,427654 507,753601074219 256,337036132813 2 0,1903488 -0,2054628 3,462234 512,518127441406 301,685791015625 2 0,2054583 -0,5069741 3,51254 514,482116699219 346,726043701172 2 0,1789839 -0,5538836 3,391598 511,781616210938 356,80859375 2 0,1231578 0,5963913 3,412188 501,992858886719 177,597717285156 2 -0,1012853 -0,008017325 3,412285 467,584625244141 271,724212646484 2 -0,05882571 0,04732166 3,422101 474,144958496094 263,115356445313 2 0,2671786 -0,01000528 3,303749 526,4931640625 271,770416259766 2 0,2521994 0,06028144 3,292813 524,195678710938 260,477142333984 
2 0,09637678 0,09268418 3,475993 497,807983398438 256,187347412109 2 0,1121762 0,3828658 3,443248 500,229888916016 211,357971191406 2 0,1266297 0,6662055 3,398947 502,58203125 166,321273803711 2 0,1085762 0,7874242 3,395761 499,684906005859 147,259796142578 2 -0,04013631 0,5482753 3,427459 476,631225585938 185,591079711914 2 -0,08743317 0,3012945 3,478482 469,596221923828 224,548065185547 2 -0,1054409 0,0984125 3,431315 466,899871826172 255,2802734375 2 -0,09048773 0,04101323 3,415953 469,231109619141 264,106689453125 2 0,2474321 0,5432076 3,351453 522,199279785156 184,238861083984 2 0,2999286 0,3012654 3,38304 530,181945800781 222,943313598633 2 0,288102 0,09912337 3,329161 529,348571777344 254,371490478516 2 0,271282 0,04041454 3,31666 526,909606933594 263,7060546875 2 0,03211574 0,09344908 3,454307 488,0830078125 256,032775878906 2 0,04811383 -0,2056879 3,50524 490,539520263672 301,453338623047 2 0,05071978 -0,5286327 3,558511 490,926452636719 349,096038818359 2 0,02573593 -0,5753951 3,437536 487,662048339844 359,105438232422 2 0,158569 0,0900887 3,427654 507,753601074219 256,337036132813 2 0,1903488 -0,2054628 3,462234 512,518127441406 301,685791015625 2 0,2054583 -0,5069741 3,51254 514,482116699219 346,726043701172 2 0,1789839 -0,5538836 3,391598 511,781616210938 356,80859375 2 0,1231578 0,5963913 3,412188 501,992858886719 177,597717285156 2 -0,1012853 -0,008017325 3,412285 467,584625244141 271,724212646484 2 -0,05882571 0,04732166 3,422101 474,144958496094 263,115356445313 2 0,2671786 -0,01000528 3,303749 526,4931640625 271,770416259766 2 0,2521994 0,06028144 3,292813 524,195678710938 260,477142333984 
2 0,09539734 0,09279167 3,474842 497,666015625 256,167053222656 2 0,1112368 0,3826937 3,441872 500,095336914063 211,361663818359 2 0,1259058 0,6656946 3,397271 502,482971191406 166,350341796875 2 0,105517 0,7867747 3,392012 499,233856201172 147,2275390625 2 -0,04185905 0,5492753 3,42771 476,363525390625 185,443649291992 2 -0,08716755 0,3029947 3,476278 469,6318359375 224,259399414063 2 -0,1054359 0,1000003 3,429689 466,8955078125 255,027709960938 2 -0,09060071 0,0426175 3,412788 469,206817626953 263,851806640625 2 0,2475406 0,5424072 3,351589 522,215148925781 184,369079589844 2 0,2992872 0,3026774 3,382599 530,087524414063 222,716339111328 2 0,2891511 0,1002068 3,329727 529,505676269531 254,20085144043 2 0,2758307 0,04253531 3,322542 527,542358398438 263,375701904297 2 0,03116516 0,09357764 3,453151 487,941284179688 256,009033203125 2 0,04703617 -0,2071577 3,503111 490,386871337891 301,695434570313 2 0,05040814 -0,5281987 3,558521 490,879638671875 349,031372070313 2 0,02552793 -0,5750054 3,437506 487,629760742188 359,046264648438 2 0,1576293 0,09016318 3,426538 507,618713378906 256,321716308594 2 0,1897786 -0,2057005 3,46109 512,443420410156 301,733032226563 2 0,2055942 -0,5074071 3,512575 514,502563476563 346,790557861328 2 0,1792192 -0,5543529 3,391595 511,81884765625 356,881866455078 2 0,1223713 0,5959642 3,410598 501,883361816406 177,621551513672 2 -0,1012593 -0,008015908 3,411536 467,586975097656 271,724243164063 2 -0,05684918 0,05426696 3,414091 474,444427490234 262,018493652344 2 0,2737489 -0,009273954 3,310748 527,436462402344 271,644683837891 2 0,2440429 0,05348611 3,326167 522,408020019531 261,666259765625 
2 0,09539734 0,09279167 3,474842 497,666015625 256,167053222656 2 0,1112368 0,3826937 3,441872 500,095336914063 211,361663818359 2 0,1259058 0,6656946 3,397271 502,482971191406 166,350341796875 2 0,105517 0,7867747 3,392012 499,233856201172 147,2275390625 2 -0,04185905 0,5492753 3,42771 476,363525390625 185,443649291992 2 -0,08716755 0,3029947 3,476278 469,6318359375 224,259399414063 2 -0,1054359 0,1000003 3,429689 466,8955078125 255,027709960938 2 -0,09060071 0,0426175 3,412788 469,206817626953 263,851806640625 2 0,2475406 0,5424072 3,351589 522,215148925781 184,369079589844 2 0,2992872 0,3026774 3,382599 530,087524414063 222,716339111328 2 0,2891511 0,1002068 3,329727 529,505676269531 254,20085144043 2 0,2758307 0,04253531 3,322542 527,542358398438 263,375701904297 2 0,03116516 0,09357764 3,453151 487,941284179688 256,009033203125 2 0,04703617 -0,2071577 3,503111 490,386871337891 301,695434570313 2 0,05040814 -0,5281987 3,558521 490,879638671875 349,031372070313 2 0,02552793 -0,5750054 3,437506 487,629760742188 359,046264648438 2 0,1576293 0,09016318 3,426538 507,618713378906 256,321716308594 2 0,1897786 -0,2057005 3,46109 512,443420410156 301,733032226563 2 0,2055942 -0,5074071 3,512575 514,502563476563 346,790557861328 2 0,1792192 -0,5543529 3,391595 511,81884765625 356,881866455078 2 0,1223713 0,5959642 3,410598 501,883361816406 177,621551513672 2 -0,1012593 -0,008015908 3,411536 467,586975097656 271,724243164063 2 -0,05684918 0,05426696 3,414091 474,444427490234 262,018493652344 2 0,2737489 -0,009273954 3,310748 527,436462402344 271,644683837891 2 0,2440429 0,05348611 3,326167 522,408020019531 261,666259765625 
2 0,09475324 0,09294787 3,474268 497,5712890625 256,141387939453 2 0,1103954 0,3821992 3,440175 499,978271484375 211,409408569336 2 0,1249318 0,6642619 3,393891 502,359130859375 166,471588134766 2 0,1048777 0,7846666 3,389402 499,154052734375 147,463836669922 2 -0,04262793 0,5494757 3,427646 476,244293212891 185,411560058594 2 -0,08720338 0,3023235 3,475503 469,625732421875 224,3515625 2 -0,1038234 0,09934179 3,427893 467,141357421875 255,120208740234 2 -0,08901057 0,04055575 3,414221 469,458038330078 264,17333984375 2 0,2473997 0,5420616 3,350296 522,211303710938 184,390747070313 2 0,2994754 0,3016104 3,380606 530,150207519531 222,855407714844 2 0,2912112 0,09827646 3,331559 529,80517578125 254,515014648438 2 0,2773599 0,04075782 3,322678 527,785583496094 263,658172607422 2 0,03070348 0,09380608 3,452982 487,870819091797 255,9736328125 2 0,04269736 -0,2069141 3,495717 489,760772705078 301,728302001953 2 0,05011411 -0,5294616 3,555475 490,850250244141 349,287414550781 2 0,02492669 -0,5763985 3,434605 487,548553466797 359,3369140625 2 0,1567558 0,09023457 3,425436 507,493896484375 256,306854248047 2 0,1895726 -0,2069251 3,460295 512,421264648438 301,927917480469 2 0,2060704 -0,5072097 3,51288 514,570983886719 346,753723144531 2 0,1793814 -0,5543039 3,392041 511,839233398438 356,862670898438 2 0,1214109 0,5947803 3,407684 501,757720947266 177,72737121582 2 -0,09847444 -0,008942847 3,411986 468,021728515625 271,865753173828 2 -0,05716911 0,05028553 3,413222 474,397705078125 262,634826660156 2 0,272316 -0,01541761 3,320463 527,059204101563 272,622741699219 2 0,2447331 0,06306807 3,3294 522,464416503906 260,149047851563 
2 0,0946795 0,09287386 3,473977 497,561889648438 256,151519775391 2 0,1096509 0,3822825 3,438937 499,872314453125 211,375900268555 2 0,1230705 0,664885 3,391314 502,088073730469 166,296356201172 2 0,1027436 0,7830523 3,386197 498,843780517578 147,602386474609 2 -0,04309341 0,5486761 3,423708 476,174133300781 185,438049316406 2 -0,08737211 0,3017713 3,475007 469,599609375 224,429412841797 2 -0,1035442 0,09872086 3,427501 467,184112548828 255,214294433594 2 -0,08764054 0,03971094 3,413699 469,670745849609 264,302429199219 2 0,2473797 0,5421019 3,349329 522,221740722656 184,359497070313 2 0,3000005 0,3021159 3,380714 530,230529785156 222,77717590332 2 0,2928235 0,09850143 3,332894 530,039672851563 254,484222412109 2 0,2814221 0,0395244 3,324988 528,39794921875 263,855895996094 2 0,03057204 0,09362133 3,452511 487,852386474609 256,000122070313 2 0,04012145 -0,2095825 3,490397 489,393768310547 302,183288574219 2 0,04948266 -0,529739 3,551537 490,773529052734 349,416900634766 2 0,02524233 -0,5768444 3,430495 487,612579345703 359,51220703125 2 0,1567337 0,09023084 3,4253 507,491790771484 256,306884765625 2 0,1887282 -0,206209 3,459064 512,304565429688 301,830139160156 2 0,2060082 -0,5066186 3,512291 514,567749023438 346,677307128906 2 0,180261 -0,5538941 3,391278 511,984832763672 356,817260742188 2 0,1198691 0,5952252 3,405468 501,534454345703 177,598754882813 2 -0,09481639 -0,01641018 3,414586 468,601318359375 273,020721435547 2 -0,05551077 0,04808491 3,405 474,656097412109 262,957275390625 2 0,2751944 -0,01591307 3,313548 527,628723144531 272,7041015625 2 0,251786 0,06963284 3,338625 523,448791503906 259,129333496094 
2 0,0938705 0,09301154 3,473354 497,4423828125 256,128631591797 2 0,1090301 0,3821493 3,438149 499,782348632813 211,383392333984 2 0,1227833 0,6645387 3,390577 502,049346923828 166,328170776367 2 0,1020837 0,7829042 3,384135 498,754791259766 147,551162719727 2 -0,04392655 0,5490322 3,423115 476,044830322266 185,368713378906 2 -0,08733094 0,3010539 3,474816 469,606201171875 224,536315917969 2 -0,1027338 0,09808248 3,426468 467,307708740234 255,307800292969 2 -0,08606344 0,04014739 3,414849 469,917205810547 264,235473632813 2 0,2470789 0,5424028 3,348521 522,185180664063 184,291259765625 2 0,301377 0,301179 3,379235 530,471496582031 222,90217590332 2 0,2967402 0,09732079 3,332345 530,673095703125 254,665954589844 2 0,2858745 0,03613127 3,321748 529,16357421875 264,386932373047 2 0,02990258 0,09380731 3,452217 487,750549316406 255,970855712891 2 0,03733464 -0,2091417 3,48389 488,995849609375 302,177947998047 2 0,0462775 -0,5242179 3,549316 490,300567626953 348,64404296875 2 0,0220435 -0,5713704 3,428272 487,121765136719 358,725769042969 2 0,1558106 0,09029876 3,424294 507,358337402344 256,292999267578 2 0,188544 -0,2061319 3,45792 512,28857421875 301,828918457031 2 0,206124 -0,5066901 3,512169 514,586669921875 346,690673828125 2 0,1803519 -0,5539637 3,391162 512,000305175781 356,831024169922 2 0,1194967 0,5949258 3,404705 501,482604980469 177,624969482422 2 -0,09659808 -0,008006851 3,411286 468,311370849609 271,719116210938 2 -0,05485688 0,04534057 3,405059 474,760192871094 263,384033203125 2 0,2779509 -0,02368048 3,324997 527,8935546875 273,931549072266 2 0,2640102 0,01691745 3,327 525,607849121094 267,4755859375 
2 0,09363206 0,0930241 3,473122 497,407409667969 256,125946044922 2 0,1081571 0,3819496 3,43687 499,656890869141 211,392974853516 2 0,1212319 0,663968 3,387881 501,828186035156 166,3359375 2 0,09990641 0,782119 3,382523 498,425109863281 147,617645263672 2 -0,04501273 0,5493482 3,423482 475,876098632813 185,329605102539 2 -0,0872288 0,3005017 3,475098 469,622680664063 224,624237060547 2 -0,1028303 0,09764297 3,426149 467,292419433594 255,374481201172 2 -0,08638848 0,04155673 3,417182 469,869171142578 264,021331787109 2 0,2458045 0,5430073 3,345787 522,021118164063 184,125930786133 2 0,3021053 0,3021138 3,378266 530,600952148438 222,7412109375 2 0,2981432 0,0980159 3,332568 530,89208984375 254,555236816406 2 0,2913306 0,03738398 3,323625 530,002685546875 264,185852050781 2 0,02975829 0,09385494 3,45207 487,728851318359 255,96305847168 2 0,03525482 -0,2110658 3,478932 488,700012207031 302,518096923828 2 0,04769486 -0,5276969 3,545505 490,531311035156 349,247436523438 2 0,02252669 -0,5749241 3,424789 487,21142578125 359,365692138672 2 0,15549 0,09026283 3,423998 507,311431884766 256,297637939453 2 0,1883655 -0,2076454 3,457831 512,263305664063 302,061767578125 2 0,2066025 -0,506009 3,513102 514,647888183594 346,567199707031 2 0,179906 -0,5534026 3,392418 511,916564941406 356,711700439453 2 0,1181103 0,5944571 3,402377 501,284820556641 177,635650634766 2 -0,0943185 0,0001276252 3,414162 468,664916992188 270,453430175781 2 -0,05474714 0,04523085 3,398353 474,776733398438 263,387237548828 2 0,2847398 -0,01594194 3,319745 529,0556640625 272,696044921875 2 0,2629207 0,03582133 3,3299 525,375427246094 264,470855712891 
2 0,09339736 0,09297878 3,472793 497,373748779297 256,131683349609 2 0,1077904 0,3819768 3,436364 499,603912353516 211,38037109375 2 0,1208983 0,664102 3,387441 501,779327392578 166,301635742188 2 0,09841241 0,7816604 3,380446 498,205261230469 147,615325927734 2 -0,04551109 0,5487863 3,422969 475,799407958984 185,404403686523 2 -0,08715428 0,3003474 3,475482 469,634735107422 224,652801513672 2 -0,1031103 0,09752049 3,42642 467,249786376953 255,394836425781 2 -0,08552855 0,04107848 3,415416 470,000427246094 264,091583251953 2 0,2448416 0,5429792 3,344184 521,890869140625 184,089767456055 2 0,3028725 0,3002482 3,376815 530,746765136719 223,013000488281 2 0,2993042 0,09590174 3,332484 531,079895019531 254,890075683594 2 0,2942276 0,03219949 3,319655 530,535217285156 265,003448486328 2 0,0295471 0,09387569 3,451807 487,697387695313 255,958938598633 2 0,03295871 -0,2097187 3,473524 488,369659423828 302,364501953125 2 0,0479611 -0,5289152 3,541558 490,589294433594 349,517608642578 2 0,02243386 -0,57612 3,420943 487,211486816406 359,6513671875 2 0,1552593 0,09015044 3,423637 507,279174804688 256,313720703125 2 0,1887645 -0,2126714 3,458941 512,316284179688 302,8212890625 2 0,2066187 -0,5061817 3,513331 514,64794921875 346,588287353516 2 0,1795661 -0,5535684 3,392745 511,859985351563 356,729553222656 2 0,1177591 0,5945649 3,401904 501,233612060547 177,606170654297 2 -0,09048408 -0,009567865 3,414787 469,269439697266 271,955047607422 2 -0,0550155 0,04254654 3,399889 474,737152099609 263,80908203125 2 0,2850744 -0,01595876 3,323545 529,047241210938 272,69580078125 2 0,2757823 0,01376423 3,326625 527,492797851563 267,967346191406 
2 0,09255034 0,09329609 3,472557 497,245574951172 256,082977294922 2 0,1064442 0,3820424 3,435431 499,402648925781 211,355255126953 2 0,1191278 0,6638061 3,385762 501,515319824219 166,297775268555 2 0,09629484 0,7819613 3,378214 497,887573242188 147,488311767578 2 -0,04632737 0,5489891 3,42217 475,6728515625 185,353652954102 2 -0,08714434 0,3006938 3,476716 469,637969970703 224,616165161133 2 -0,1029769 0,09805234 3,426536 467,270294189453 255,312957763672 2 -0,0862411 0,04048519 3,416869 469,892425537109 264,186889648438 2 0,2427994 0,5429523 3,342102 521,595764160156 184,041931152344 2 0,3030951 0,2997482 3,376149 530,793151855469 223,08203125 2 0,3020575 0,0955599 3,330666 531,549255371094 254,93359375 2 0,2939854 0,030233 3,322049 530,458129882813 265,321197509766 2 0,02885401 0,09427862 3,451759 487,590728759766 255,897430419922 2 0,03179057 -0,2102108 3,469375 488,207275390625 302,478851318359 2 0,04928204 -0,5298432 3,538459 490,801422119141 349,724914550781 2 0,02326874 -0,5771129 3,418018 487,352142333984 359,881195068359 2 0,1542522 0,09037367 3,423208 507,127044677734 256,278259277344 2 0,1872795 -0,2105797 3,45814 512,095581054688 302,509521484375 2 0,2065604 -0,5061594 3,513135 514,641296386719 346,589233398438 2 0,1790351 -0,553624 3,392719 511,77734375 356,739379882813 2 0,1160848 0,5943667 3,400409 500,984008789063 177,597625732422 2 -0,08633424 0,0003719517 3,411488 469,901306152344 270,408996582031 2 -0,05439334 0,04558239 3,393278 474,831298828125 263,321563720703 2 0,2870123 -0,02368084 3,324994 529,338989257813 273,923706054688 2 0,2823069 0,01822435 3,328 528,507385253906 267,252532958984 
